date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:38	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2009:51:38%20GMT	https://almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel-icons.ttf	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel-icons.ttf	(from https://almasahotel-alsokhna.com/sokhna/css/vendors.min.css)
12:51:39	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2009:51:39%20GMT	https://almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel-icons.svg	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel-icons.svg	(from https://almasahotel-alsokhna.com/sokhna/css/vendors.min.css)
12:51:39	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2009:51:39%20GMT	https://almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel.eot	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel.eot	(from https://almasahotel-alsokhna.com/sokhna/css/vendors.min.css)
12:51:40	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2009:51:40%20GMT	https://almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel.eot?	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hoteld41d.eot	(from https://almasahotel-alsokhna.com/sokhna/css/vendors.min.css)
12:51:40	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2009:51:40%20GMT	https://almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel.woff	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel.woff	(from https://almasahotel-alsokhna.com/sokhna/css/vendors.min.css)
12:51:41	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2009:51:41%20GMT	https://almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel.ttf	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel.ttf	(from https://almasahotel-alsokhna.com/sokhna/css/vendors.min.css)
12:51:41	12182445/12182445	---M--	200	added ('OK')	image/jpeg	etag:%2265661d51-b9e3ad%22	https://almasahotel-alsokhna.com/uploads/Masa-50_057c4ac2ce9851b4d91cd723b386c55f.jpg	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/uploads/Masa-50_057c4ac2ce9851b4d91cd723b386c55f.jpg	(from https://almasahotel-alsokhna.com/)
12:51:42	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2009:51:41%20GMT	https://almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel.svg	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel.svg	(from https://almasahotel-alsokhna.com/sokhna/css/vendors.min.css)
12:51:42	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2009:51:42%20GMT	https://almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/spa.eot	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/spa.eot	(from https://almasahotel-alsokhna.com/sokhna/css/vendors.min.css)
12:51:43	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2009:51:42%20GMT	https://almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/spa.eot?	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/spad41d.eot	(from https://almasahotel-alsokhna.com/sokhna/css/vendors.min.css)
